orientation|680|680|0|id0
appear|680|680|id0
orientation|720|720|0|id0
appearance|720|720|visible|id0
orientation|760|760|45|id0
appearance|760|760|visible|id0
orientation|800|800|45|id0
appearance|800|800|visible|id0
orientation|840|840|45|id0
appearance|840|840|visible|id0
orientation|880|880|45|id0
appearance|880|880|visible|id0
orientation|920|920|45|id0
appearance|920|920|visible|id0
orientation|960|960|45|id0
appearance|960|960|visible|id0
orientation|1000|1000|45|id0
appearance|1000|1000|visible|id0
orientation|1040|1040|45|id0
appearance|1040|1040|visible|id0
orientation|1080|1080|45|id0
appearance|1080|1080|visible|id0
orientation|1120|1120|23|id0
appearance|1120|1120|visible|id0
orientation|1160|1160|16|id0
appearance|1160|1160|visible|id0
orientation|1200|1200|11|id0
appearance|1200|1200|visible|id0
orientation|1240|1240|13|id0
appearance|1240|1240|visible|id0
orientation|1280|1280|12|id0
appearance|1280|1280|visible|id0
orientation|1320|1320|12|id0
appearance|1320|1320|visible|id0
orientation|1360|1360|17|id0
appearance|1360|1360|visible|id0
orientation|1400|1400|22|id0
appearance|1400|1400|visible|id0
orientation|1440|1440|23|id0
appearance|1440|1440|visible|id0
orientation|1480|1480|21|id0
appearance|1480|1480|visible|id0
orientation|1520|1520|22|id0
appearance|1520|1520|visible|id0
orientation|1560|1560|14|id0
appearance|1560|1560|visible|id0
orientation|1560|1560|0|id4
appear|1560|1560|id4
orientation|1600|1600|13|id0
appearance|1600|1600|visible|id0
orientation|1600|1600|0|id4
appearance|1600|1600|visible|id4
orientation|1640|1640|11|id0
appearance|1640|1640|visible|id0
orientation|1640|1640|0|id4
appearance|1640|1640|visible|id4
orientation|1680|1680|11|id0
appearance|1680|1680|visible|id0
orientation|1680|1680|0|id4
appearance|1680|1680|visible|id4
orientation|1720|1720|5|id0
appearance|1720|1720|visible|id0
orientation|1720|1720|0|id4
appearance|1720|1720|visible|id4
orientation|1760|1760|5|id0
appearance|1760|1760|visible|id0
orientation|1760|1760|0|id4
appearance|1760|1760|visible|id4
orientation|1800|1800|20|id0
appearance|1800|1800|visible|id0
orientation|1800|1800|0|id4
appearance|1800|1800|visible|id4
orientation|1840|1840|18|id0
appearance|1840|1840|visible|id0
orientation|1840|1840|0|id4
appearance|1840|1840|visible|id4
orientation|1880|1880|19|id0
appearance|1880|1880|visible|id0
orientation|1880|1880|0|id4
appearance|1880|1880|visible|id4
orientation|1920|1920|19|id0
appearance|1920|1920|visible|id0
orientation|1920|1920|0|id4
appearance|1920|1920|visible|id4
orientation|1960|1960|19|id0
appearance|1960|1960|visible|id0
orientation|1960|1960|0|id4
appearance|1960|1960|visible|id4
orientation|2000|2000|6|id0
appearance|2000|2000|visible|id0
orientation|2000|2000|0|id4
appearance|2000|2000|visible|id4
orientation|2040|2040|6|id0
appearance|2040|2040|visible|id0
orientation|2040|2040|0|id4
appearance|2040|2040|visible|id4
orientation|2080|2080|5|id0
appearance|2080|2080|visible|id0
orientation|2080|2080|0|id4
appearance|2080|2080|visible|id4
orientation|2120|2120|169|id0
appearance|2120|2120|visible|id0
orientation|2120|2120|0|id4
appearance|2120|2120|visible|id4
orientation|2160|2160|158|id0
appearance|2160|2160|visible|id0
orientation|2160|2160|0|id4
appearance|2160|2160|visible|id4
